compound_id	compound_name	pathway	smiles	scenario_id	study_name	study_description	spike_compound	minormajor	acidity	acidity_unit	temperature	temperature_unit	CEC	CEC_unit	OC	biomass_start	biomass_end	biomass	wst_value	wst_type	humidity	humidity_conditions	soil_texture	sand	silt	clay
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Metobromuron	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/7f288db8-c313-4b3f-8bc6-2dc79a4b7f93	IIA 7.1.1/02, Keller, A. (1982)	no description				pH		&#176;C	12.3	mEq/100g						FC	75.0		Silt	9.4	86.4	4.2
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/5761298c-9fcb-4c28-be2e-67a23ec69f10/structure/767a8e3a-dfa2-413c-a751-fb5e586d133f	R3 4-Bromophenylurea	Metobromuron	NC(=O)Nc1ccc(Br)cc1																							
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c31649e2-a8b1-4082-8cc9-b01cca153bdd/structure/9cd185a5-24a2-44c4-8f31-406b94c8ea4a	R4 4-bromoaniline	Metobromuron	Nc1ccc(Br)cc1																							
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c1839998-e924-4178-8156-89e7a3864067/structure/e07a4688-e7de-4ff8-be44-6f3812d3dfa5	5-OH-metosulam (M3)	Metosulam	COc1cc(O)nc2nc(S(=O)(=O)Nc3c(Cl)ccc(C)c3Cl)nn12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/c6d4341a-c5b3-4015-9d9c-5a9637b0f9da	Baloch, R., Grant, R. (1992) & Hammel, K. (2003a)	no description				pH		&#176;C	22.0	mEq/100g		100.0	320.0		 	MWHC	40.0		Sand	90.0	7.0	3.0
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Metosulam	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/49cdd1a7-0394-407f-9b68-95e1c26caa06	Jackson, R. (1996) & Hammel, K. (2003a)	no description				pH		&#176;C				358.0	358.0			MWHC	40.0		Loamy sand	81.0	13.0	6.0
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/781b3ecb-b36a-46ff-a591-d53bee5f4be3/structure/bb15101e-3cd0-447e-9789-2ae500ea5b72	CL 197675 	Metrafenone	COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C(=O)O)c(OC)c1OC	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/0a44abe9-fbb3-40e0-aef9-4f78ac1461eb	Steinfuehrer, (2000b)	no description				pH		&#176;C	18.0	mEq/100g		345.0	682.0			MWHC	50.0		Silt loam	9.8	62.9	27.3
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/5d0b2b29-6cff-488e-adf7-fd5bed7a39d7/structure/7cefe3ac-70b7-49b2-874c-9fa421bb5e90	CL 197676	Metrafenone	COc1cc(C(=O)O)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/0a44abe9-fbb3-40e0-aef9-4f78ac1461eb	Steinfuehrer, (2000b)	no description				pH		&#176;C	18.0	mEq/100g		345.0	682.0			MWHC	50.0		Silt loam	9.8	62.9	27.3
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/017e4d21-65ee-4520-93b2-630036052656/structure/01e8c1d5-35ac-4f35-b6b6-20c91d068517	CL 377160	Metrafenone	COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/65c23338-a455-4163-b9cc-f8747b7b62d8	Afzal (2002)	no description				pH		&#176;C	5.6	mEq/100g		505.0	232.0			MWHC	50.0		Silty clay loam	9.5	59.6	30.9
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Metrafenone	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/44f94dfd-18a1-4887-a67a-18f2b247e2bf	Steinfuehrer, (2000a)	no description				pH		&#176;C	18.0	mEq/100g		358.0	225.0			MWHC	52.96		Clay loam	39.1	33.0	27.9
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Metribuzin	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/3b010d5d-5363-472c-8ca0-f26db7953ca0	Hein, W. (2000a); Schad, T (2001a); Schaefer, Mikolasch, 2008	no description				pH		&#176;C							 	MWHC	48.0		Loamy sand	48.1	39.0	12.9
